name,state,description,tags
"Civil Service Incentive (De-Notified, Nomadic and Semi-nomadic communities )",Madhya Pradesh,"The ""Civil Service Incentive"" by the Department of De-notified, Nomadic, and Semi-Nomadic Welfare, Government of Madhya Pradesh, offers an incentive of ₹20,000 to ₹50,000 for successful candidates from these communities in MPPSC and UPSC civil service exams.","['Civil', 'Education', 'Financial Assistance', 'Nomadic', 'Student']"
Refund of Fees,Madhya Pradesh,"Under the ""Refund of Fees"" Scheme, Higher Education Department, Madhya Pradesh, students can get a refund of the remaining fee (including caution money) after deducting ₹100 if they leave college, fail after provisional admission, or have their admission cancelled.","['College', 'Education', 'Financial Assistance', 'Student']"
Scheduled Caste Boys/Girls Housing Assistance Scheme,Madhya Pradesh,"The scheme ""Scheduled Caste Boys/Girls Housing Assistance Scheme"" by the Tribal Welfare and Scheduled Caste (SC) Department, Government of Madhya Pradesh, provides financial support for residential facilities to Scheduled Caste students who are studying in colleges outside their native village/city.","['College', 'Housing', 'Scheduled Caste', 'Student']"
INDIRAMMA Weavers Pension (Rural),Andhra Pradesh,"""INDIRAMMA Weavers Pension (Rural)"" scheme aims to disburse monthly pensions to destitute weavers who are 50 years or above in age. To be eligible, they should be from a BPL family, be a resident of the district, and not be covered under any other Pension Scheme.","['Below Poverty Line', 'Destitute', 'Pension', 'Senior Citizen', 'Weaver']"
Widow Pension Scheme (HPBOCWWB),Himachal Pradesh,"The ""Widow Pension Scheme"" launched by HPBOCWWB is designed to support widows of registered beneficiaries. Through this initiative, the Board will disburse a monthly amount of ₹1,500/- to help widows manage their expenses and improve their quality of life.","['Building Worker', 'Construction Workers', 'Widow', 'Women']"
Refund of Fees,Madhya Pradesh,"Under the ""Refund of Fees"" Scheme, Higher Education Department, Madhya Pradesh, students can get a refund of the remaining fee (including caution money) after deducting ₹100 if they leave college, fail after provisional admission, or have their admission cancelled.","['College', 'Education', 'Financial Assistance', 'Student']"
Gopal Incentive Scheme,Madhya Pradesh,"The ""Gopal Incentive Scheme"" by the Animal Husbandry Department, Government of Madhya Pradesh, promotes the rearing of Indian high-breed cattle and boosts milk production, benefiting animal breeders and livestock farmers with access to Indian advanced breed cows.","['Animal', 'Awards', 'Cows', 'Farmers']"
Disability Pension (HPBOCWWB),Himachal Pradesh,"The scheme ""Disability Pension,"" introduced by the Himachal Pradesh Building and Other Construction Workers Welfare Board (HPBOCWWB), Government of Himachal Pradesh, provides a monthly pension of ₹500/- to registered beneficiaries in case of disability caused by accidents or diseases.","['Building', 'Construction', 'Disability', 'Labour', 'Pension', 'Worker']"
Cash Prizes Scheme (BBOCWWB),Bihar,"""Cash Prizes Scheme"" was launched by the Bihar Building & Other Construction Workers Welfare Board. Students securing 60% or more in the 10th and 12th exams receive cash prizes of up to ₹25,000/- per year. Upto two children of a registered construction worker are eligible.","['Building', 'Construction', 'Exam', 'Financial Assistance', 'Labour', 'Student', 'Worker']"
INDIRAMMA Disabled Pension (Urban),Andhra Pradesh,"""INDIRAMMA Disabled Pension (Urban)"" scheme aims to provide monthly pensions to persons with disabilities of 40% or above who are 18 years of age or above. To be eligible, they should be from a BPL family, be a resident of Andhra Pradesh, and not be covered under any other Pension Scheme.","['Below Poverty Line', 'BPL', 'Disability', 'Pension', 'Urban']"
State Merit Scholarship to Under Graduate Girls Students,Haryana,"""Merit Scholarship to Undergraduate Girl Students""  aims to promote higher education among meritorious girl students by providing a scholarship amount of ₹3,000 per annum to 10 eligible girl students per government college who have excelled in their 10+2 examination.","['Education', 'Girl', 'Graduation', 'Merit', 'Scholarship', 'Stipend', 'Student']"
Maternity Benefits Scheme (BBOCWWB),Bihar,"""Maternity Benefits Scheme"" provides an amount equivalent to 90 days of the minimum wages set by the State Govt. for unskilled workers at the time of childbirth. The applicant should be a female construction worker who has completed one year of membership with the Board.","['Building', 'Construction', 'Labour', 'Maternity', 'Woman', 'Worker']"
Education Loan Scheme - Delhi,Delhi,"""Education Loan Scheme"" provides financial assistance to the SC/ST/OBC/PwD students for pursuing professional and technical education in India and abroad, with loan limits of ₹7,50,000/- and ₹15,00,000/- respectively. Delhi residents with an annual family income below ₹5,00,000/- are eligible.","['College', 'Disability', 'Education', 'Loan', 'Minority', 'OBC', 'Scheduled Caste', 'Scheduled Tribe', 'Student']"
Dilli Swarojgar Yojna,Delhi,"""Dilli Swarojgar Yojna"" provides loans up to ₹5,00,000/- at 6% interest for income-generating activities. The scheme targets individuals from SC, ST, OBC, and Minority communities. The loans are disbursed for activities such as vegetable/fruit/flower shops, dairy products, tailoring shops, etc.","['Business', 'Employment', 'Entrepreneurship', 'Loan', 'Minority', 'Scheduled Caste', 'Scheduled Tribe']"
Big Loan Scheme,Delhi,"""Big Loan Scheme"" aims to provide term loans up to ₹5,00,000/- for income-generating activities to eligible applicants from specific targets groups like SC, OBC, Minorities, Safai Karamcharis, and PwDs. The scheme is implemented by DSFDC in collaboration with National Apex Corporations.","['Disability', 'Entrepreneur', 'Loan', 'Minority', 'OBC', 'Safai Karamchari', 'Scheduled Caste']"
Artisan Promotion,Delhi,"The scheme ""Artisan Promotion"" by the DSFDC provides artisans with opportunities to participate in national fairs and exhibitions. It offers financial support for participation fees, lodging, boarding, and stipends, benefiting artisans from Scheduled Castes, Other Backward Classes, Minorities.","['Artisan', 'Disability', 'Exhibition', 'Minority', 'OBC', 'Safai Karamchari', 'Scheduled Caste', 'Stipend']"
Transgender Utthan Kosh - Pre Matric Scholarship for Studying Transgender,Rajasthan,"The scheme aims to support transgender students by providing scholarships to encourage their education and social upliftment. Under this scheme, transgender students receive a monthly scholarship of ₹225/- per month to cover educational expenses from primary to pre-matric levels.","['Pre-Matric', 'Scholarship', 'Student', 'Transgender']"
Transgender Utthan Kosh - Post Matric Scholarship for Studying Transgender,Rajasthan,"The scheme aims to support transgender students pursuing post-matric education. Under this scheme, transgender students receive a monthly scholarship of ₹1,000/- to cover educational expenses for their post-matric studies.","['Post-matric', 'Scholarship', 'Student', 'Transgender']"
Ambedkar DBT Voucher Scheme,Rajasthan,"The scheme aims to support students from SC, ST, OBC, MBC, and EWS categories by providing financial aid for accommodation. The students receive ₹2,000/- per month for up to 10 months per academic year.","['Economically Weaker Section', 'Financial Assistance', 'Hostel', 'Most Backward Class', 'Other Backward Class', 'Residential Facility', 'Scheduled Caste', 'Scheduled Tribe', 'Student']"
Motorized Tricycle Yojana,Rajasthan,"Under this scheme, motorized tricycles are provided to specially-abled individuals with 50% or more locomotor disability to support self-employment and pursuing higher education from Senior Higher Secondary onwards.","['Locomotor Disability', 'Motorized Tricycle', 'Persons With Disabilities', 'PwD', 'Self-employment']"
Assistance to Persons with Disabilities for Purchase/Fitting of Artificial Limbs/Appliances,Rajasthan,"The scheme aims to provide financial assistance of ₹10,000/- to specially-abled individuals for self-employment and the purchase of artificial limbs/equipment to overcome physical disabilities.","['Artificial Limbs', 'Equipments', 'Financial Assistance', 'Person With Disability', 'PwD']"
Self-Employment Scheme: Transport/ Logistics/ Travels/ Food Court Wyaaj Sahaay,Gujarat,"""Transport/ Logistics/ Travels/ Food Court Wyaaj Sahaay"" is a component under the ""Self-Employment Scheme"" that provides 5% interest subsidy on a bank loan of ₹6,00,000/- for purchasing vehicles and setting up the required infrastructure.","['Business', 'Entrepreneurship', 'Food Courts', 'Logistics', 'Self Employment', 'Transport']"
Bunkar Parivar Ke Pratibhavan Chatra-Chatraon Ko Protsahan Puraskar Yojana,Chhattisgarh,"""Bunkar Parivar Ke Pratibhavan Chatra-Chatraon Ko Protsahan Puraskar Yojana"" aims to motivate and encourage children of weaver families for higher education. Monetary rewards are given to talented students who score well in 10th/12th board exams.","['Education', 'Examination', 'School', 'Student', 'Weaver']"
Scholarship/Merit scholarship to OBC/MIN/SC/ST students from Class I to XII,Delhi,"The scheme aims to provide financial assistance to students from SC/ST/OBC/Minority communities studying in classes I to XII in government or recognised schools in Delhi. The scheme offers varying scholarship amounts based on class and academic performance, ensuring support for education.","['Backward Classes', 'Schedule Tribe', 'Scheduled Castes', 'Scholarships', 'Students']"
Self-Employment Scheme: Vahan Loan Sahay Yojana,Gujarat,"""Vahan Loan Sahay Yojana"" is a component under the ""Self-Employment Scheme"" that provides on-road unit cost to self-employed individuals for purchasing vehicles such as rickshaws, loading rickshaws, Maruti cars, and jeep taxis.","['Business', 'Self Employment', 'Vehicle Loan']"
Coaching Help Scheme,Gujarat,"The ""Coaching Help Scheme"" provides financial support to non-reserved category students pursuing science in Standard-11 and Standard-12 by covering additional tuition costs.","['Education', 'Tuition Fee Assistance']"
Promotion of Science Education (POSE) Scholarship Scheme,Haryana,"The scheme aims to encourage meritorious students to pursue higher studies in Basic and Natural Science subjects, such as B.Sc., B.S., B.Stat., B.Math., Integrated M.Sc., or M.S., in India. The scheme is implemented by the Haryana State Council for Science, Innovation & Technology.","['Basic Science', 'Meritorious Student', 'Natural Science', 'Scholarship', 'Science Education']"
Pradhan Mantri Vidyalaxmi (PM-Vidyalaxmi) Scheme,Ministry of Education,"The ""Pradhan Mantri Vidyalaxmi (Pm-vidyalaxmi) Scheme"" aims to provide financial support for higher education through education loans. Under this scheme, financial assistance of up to ₹10,00,000/- is provided to meritorious students seeking admission to domestic institutions.","['College', 'Education', 'Loan', 'Merit', 'Student']"
Special Jobs to PwDs - Helper,Lakshadweep,"Under this scheme, three PwD candidates are employed as Helpers with a monthly salary of ₹9,900/- on an 89-day rotational basis in the District Panchayat offices of their respective islands to address issues related to disabled persons and other associated matters.","['Disabled Person', 'Employment', 'Helper', 'Job', 'Person With Disabilities', 'PwD']"
Subsidy for School Uniforms to the Students,Delhi,"The scheme aims to provide cash subsidies for school uniforms to students from Nursery to Class XII in government and aided schools. Benefits include annual payments ranging from ₹1,100/- to ₹1,500/-, ensuring financial support for all eligible students.","['Education', 'Student', 'Subsidy', 'Uniform']"
Millet Development Scheme,Gujarat,"The ""Millet Development Scheme"" introduced by the Agriculture, Farmers Welfare and Cooperation Dept., Gujarat, aims to promote millet cultivation in Gujarat by organizing promotional activities, expos, processing units, demonstrations(seed/input kit ), and taluka-level melas.","['Agriculture', 'Farmer', 'Input Kits', 'Millet Development', 'Seed']"
Vishesh Yogyajan Chhatravriti Yojana,Rajasthan,"Under this scheme, scholarships and tuition fee reimbursement are provided to specially-abled students belonging to families with an annual income not exceeding ₹2.00 lakh, who are regularly studying in government and recognized educational institutions.","['PwD', 'Scholarship', 'Specially Abled Person', 'Student', 'Tuition Fee']"
Marriage Assistance to Person with Disability / BPL,Lakshadweep,"The scheme aims to support differently-abled brides/bridegrooms from BPL families by providing financial assistance to meet marriage-related expenses. Under this scheme, an amount of ₹30,000/- is provided to Scheduled Tribe, differently-abled brides/bridegrooms for their first marriage.","['BPL', 'Differently Abled', 'Disability', 'Financial Assistance', 'Marriage', 'PwD', 'Scheduled Tribes']"
Urdu Scholarship- Rajasthan,Rajasthan,"The scheme aims to promote the Urdu language among female students at the undergraduate and postgraduate levels. Under this scheme, a monthly scholarship is provided to undergraduate and postgraduate students who are studying Urdu as an optional subject.","['Girl Student', 'Postgraduate', 'Scholarship', 'Undergraduate', 'Urdu']"
Scheme of Internship of Students to DRDO Labs/Estts for Project Training,Ministry Of Defence,The scheme aims to provide an opportunity and exposure to future graduates and postgraduates in Engineering and General Sciences to the research and development activities carried out by DRDO in state-of-the-art technology in fields relevant to the defense sector.,"['DRDO', 'Graduate', 'Internship', 'Postgraduates', 'Project Training', 'Student']"
Distance Education Scheme for Girls,Rajasthan,"The scheme aims to support girls' higher education through distance learning by reimbursing their course fees for UG, PG, Diploma, Certificate, and PG Diploma undertaken by girls through distance education in Rajasthan.","['Diploma', 'Distance Education', 'Fee Reimbursement', 'Girl Student', 'Post-Graduation', 'Undergraduate']"
Establishment of 12 Milch Animal Farm,Gujarat,"The ""Establishment of 12 Milch Animal Farm"" scheme introduced by the Agriculture, Farmers Welfare and Cooperation Department, Gujarat, supports livestock owners in establishing dairy farms with up to 12 milch animals.","['Animal Farm', 'Animal Husbandry', 'Rural Employment']"
Establishment of Goat Unit (10 +1),Gujarat,"The ""Establishment of Goat Unit (10+1)"" scheme by the Agriculture, Farmers Welfare and Cooperation Department, Gujarat, aims to promote the social and economic upliftment of goat breeders by encouraging goat breeding and genetic improvement through pure breeding.","['Animal Husbandry', 'Goat Breeding', 'Goat Unit']"
Union Territory of Lakshadweep Pension Scheme for Specially Abled Persons,Lakshadweep,"​The scheme aims to provide a monthly financial assistance of ₹1,500 to persons with disabilities, including those who are deaf, mute, blind, intellectually disabled, or orthopedically impaired, with a disability level of 40% or more and without any source of income.","['Disabled', 'Financial Assistance', 'Pension', 'Person With Disabilities', 'PwD']"
Union Territory of Lakshadweep Pension Scheme for Abandoned Ladies/Destitute,Lakshadweep,"The scheme aims to provide monthly financial assistance of ₹1,500/- to abandoned ladies & destitute women in the UT. The scheme covers women who have been divorced or abandoned by their husband or relatives, have not remarried, & are without any source of income or have only a nominal income.","['Abandoned', 'Destitute', 'Divorced', 'Financial Assistance', 'Pension', 'Women']"
Jan-Nayak Karpoori Thakur Kalyan Hostel Scheme,Bihar,"The ""Jan-Nayak Karpoori Thakur Kalyan Hostel Scheme"" by the BC & EBC Welfare Department, Bihar provides hostel facilities for students near Saharsa District with food grains (9 kg rice, 6 kg wheat) and ₹1000/- per month as a grant.","['Backward Classes', 'Education', 'Hostel', 'Student']"
Assistance of Concentrate Feed After Parturition (General Category),Gujarat,"The scheme ""Assistance of Concentrate Feed After Parturition (General Category)"" provides 150 kg of BIS Type II concentrate feed to General Category livestock owners after parturition to support cattle health, increase milk production, and enhance calf development.","['Animal Husbandry', 'Cattle Development', 'Concentrate Feeds', 'Milk Production']"
Mahila Bakri Palan,Uttarakhand,"The scheme aims to empower women, especially abandoned, widowed, destitute, single, and disaster-affected women, by providing them support for goat rearing to generate livelihood and improve household income.","['Abandoned', 'Destitute', 'Disaster Affected Woman', 'Goat', 'Goat Rearing', 'Widow']"
Free Computer Training,Uttarakhand,"The scheme aims to provide a one-year free training course (Computer / Accounting / Web Designing / Digital Marketing) to ex-servicemen, serving soldiers, their widows, and dependents who have passed the 12th standard.","['Computer Training', 'Ex-serviceman', 'Sainik', 'Soldier']"
Free Scooty Distribution for Girls (GEN-CATEGAORY-EWS),Rajasthan,"Under this scheme, meritorious girl students from government and private schools who have scored 85% or above in the Class 10th and 12th (Arts, Commerce, Science streams) examinations are provided with a free scooty, along with a helmet and petrol.","['Economically Weaker Section', 'EWS', 'Girl Student', 'Meritorious Student', 'Scooty']"
To Provide Financial Assistance to the Farmers Practicing Natural Farming Under the Completely Chemical Free Dang District,Gujarat,"This scheme provides financial assistance to farmers practicing natural farming in the completely chemical-free Dang district to promote sustainable agriculture, increase productivity, and ensure environmental conservation.","['Agriculture', 'Natural Farming', 'Soil Fertility']"
Dr. Ambedkar Foundation Essay Competition Scheme for Class 10th-12th & Colleges/Universities/Institutions Students in 22 Indian Languages and English,Ministry Of Social Justice and Empowerment,"The scheme aims to encourage school, college & university students of 10th and 12th standards to write on the contribution of Babasaheb, particularly on his thoughts on social justice, empowerment of the depressed section, removal of caste-based discriminations, national integration, etc.","['Ambedkar Foundation', 'Cash Prize', 'Essay Competition', 'Student']"
Merit cum Means Scholarship: Engineering University,Chhattisgarh,"""Merit cum Means Scholarship: Engineering University"" is a scholarship scheme by the Technical Education Department, Government of Chhattisgarh. The scheme provides ₹1,000/- per month to eligible students for pursuing education from recognized engineering universities in Chhattisgarh.","['Education', 'Engineering', 'Scholarship', 'Student', 'University']"
Scholarship for Chhattisgarh Students Studying Outside the State,Chhattisgarh,"The scheme aims to support native Chhattisgarh students pursuing engineering degrees outside the state by providing a monthly scholarship of ₹2,000/-. This initiative benefits meritorious students enrolled in recognised engineering colleges outside Chhattisgarh.","['Chhattisgarh', 'Education', 'Financial Support', 'Scholarship', 'Student']"
To Provide Interest Subvention to Fishermen of the State at the Rate of 4% to the Beneficiaries Kishan Credit Card,Gujarat,The scheme aims to provide 4% interest subvention to the fishermen in Gujarat on timely repayment of short-term loans taken through the Kisan Credit Card.,"['Agriculture', 'Fisherman', 'Interest Subvention']"
State Art Exhibition (Student Category),Goa,"The ""State Art Exhibition (Student Category)"" is an annual event organized by the Art, Culture and Museums Department, Government of Goa, to promote and encourage creativity in the visual arts field among local students.","['Art Exhibition', 'Financial Support', 'Graphic Design', 'Prize', 'Student']"
Capital Subsidy Scheme for Setting Up Solar Plant in Milk Cooperatives in Gujarat State (Tribal Area),Gujarat,"The scheme aims to promote renewable energy and reduce electricity expenses. Through this scheme, a 75% subsidy is provided for setting up solar plants (1KW to 40KW) in milk cooperative societies in tribal areas.","['Agriculture', 'Electricity Saving', 'Milk Cooperatives', 'Renewable Energy', 'Solar Subsidy']"
All Goa Classical Dance Competition,Goa,"The scheme ""All Goa Classical Dance Competition"" is open for Bharatnatyam and Kathak disciplines. Only solo dance will be considered for the competition. Costumes and accompanists are to be arranged by the participants at their own cost. Open to local students between 12 to 20 years of age.","['Art', 'Competition', 'Culture', 'Dance', 'Student']"
Assistance of Concentrate Feed After Parturition (General Category),Gujarat,"The scheme ""Assistance of Concentrate Feed After Parturition (General Category)"" provides 150 kg of BIS Type II concentrate feed to General Category livestock owners after parturition to support cattle health, increase milk production, and enhance calf development.","['Animal Husbandry', 'Cattle Development', 'Concentrate Feeds', 'Milk Production']"
Mahila Bakri Palan,Uttarakhand,"The scheme aims to empower women, especially abandoned, widowed, destitute, single, and disaster-affected women, by providing them support for goat rearing to generate livelihood and improve household income.","['Abandoned', 'Destitute', 'Disaster Affected Woman', 'Goat', 'Goat Rearing', 'Widow']"
Free Scooty Distribution for Girls (GEN-CATEGAORY-EWS),Rajasthan,"Under this scheme, meritorious girl students from government and private schools who have scored 85% or above in the Class 10th and 12th (Arts, Commerce, Science streams) examinations are provided with a free scooty, along with a helmet and petrol.","['Economically Weaker Section', 'EWS', 'Girl Student', 'Meritorious Student', 'Scooty']"
Mahila Adhikarita Yojana (Gujarat Safai Kamdar Development Corporation),Gujarat,"""Mahila Adhikarita Yojana"" introduced by the Social Justice and Empowerment Department, Gujarat, is a centrally sponsored financial support scheme offering loans of ₹20,000/- at a subsidized interest rate to women sweepers and their dependents to promote self-reliance and upliftment.","['Loan', 'Social Welfare', 'Subsidy', 'Women Empowerment']"
Operation of Ashram Hostels,Rajasthan,"Under this scheme, free accommodation, nutritious meals, educational materials, uniforms, personal hygiene items, and other facilities are provided to Scheduled Tribe (ST) students residing in ashram hostels operated by the Tribal Area Development Department.","['Ashram Hostels', 'Free Accommodation', 'Hostel', 'Scheduled Tribe', 'Student', 'Tribal']"
Prakashan Sahayata Yojana,Rajasthan,"The scheme aims to support original literary/research work related to tribal communities. Authors are provided financial assistance of ₹6,000 to ₹12,000 for publication.","['Authors', 'Financial Assistance', 'Publication', 'Scheduled Tribe', 'Writer']"
Financial Assistance Scheme for Journalists and Litterateurs - Rajasthan,Rajasthan,"The scheme aims to provide financial support to journalists and litterateurs for the treatment of critical illnesses, medical emergencies and no source of income, unemployment, or advanced age.","['Financial Assistance', 'Journalist', 'Litterateur', 'Medical', 'Old Age', 'Treatment']"
Scheme of Production of Domestic Indigenous Certified Seed of Cotton Varieties,Gujarat,"The ""Scheme of Production of Domestic Indigenous Certified Seed of Cotton Varieties""  introduced by the Agriculture, Farmers Welfare and Cooperation Department, aims to promote the cultivation and production of local cotton seed varieties across Gujarat.","['Agriculture', 'Cotton Seed', 'Farmer', 'Subsidy']"
Trainning Scheme for Horticulture Skill Development to Landless farm labour at Centre of Excelence of Department,Gujarat,"The ""Training Scheme for Horticulture Skill Development to Landless Farm Labour at Centre of Excellence of Department"" aims to provide skill development training in horticulture to landless farm labourers through the Centres of Excellence.","['Farmer', 'Horticulture Training', 'Skill Development']"
Mukhyamantri Rajya Krishi Vikas Yojana,Uttarakhand,"The scheme aims to help sugarcane farmers grow better crops, increase production, improve sugar quality, and provide support through high-quality seeds, modern techniques, mechanization, crop protection, and advanced farming practices.","['Agricultural Equipment', 'Farmer', 'Sugar', 'Sugarcane', 'Sugarcane Seed']"
State Government-Run Old Age and Infirm Homes,Uttarakhand,"Under this scheme, free residential, food, clothing, and healthcare are provided to destitute elderly individuals above 60 years in state-run residential facilities.","['Home For Disabled Persons', 'Infirm Home', 'Old-age Home', 'Senior Citizen', 'Shelter']"
100% State Government Divyangjan Term Loan Yojana,Gujarat,"The scheme provides provide financial support to native residents of Gujarat who have a disability of 40% or more. The eligible individuals can avail of a term loan ranging from ₹50,000/- to ₹1,00,000/- at a concessional interest rate of 6% per annum for a repayment period of five years.","['Differently Abled', 'Disability', 'Loan', 'Social Welfare']"
Financial Assistance to Destitute Elderly and Disabled Person,Gujarat,"The scheme ""Financial Assistance to Destitute Elderly and Disabled Person"" provides monthly financial aid to elderly individuals (60+) and severely disabled persons who meet specific income and dependency criteria.","['Disabled Person', 'Elderly Pension', 'Senior Citizen', 'Social Welfare']"
Assistance to Pilgrims for Kailash Mansarovar Yatra - Rajasthan,Rajasthan,"The objective of this scheme is to provide financial support to residents of Rajasthan who successfully complete the Kailash Mansarovar Yatra organized by the Ministry of External Affairs, Govt. of India. Under this scheme, each pilgrim is granted financial assistance of up to ₹1,00,000/-.","['Financial Assistance', 'Kailash', 'Mansarovar', 'Pilgrim', 'Tourism', 'Yatra']"
Pandit Dindayal Upadhyay Awas Yojana-Developing Caste Welfare,Gujarat,"The ""Pandit Dindayal Upadhyay Awas Yojana-Developing Caste Welfare"" provides financial assistance of up to ₹1,20,000/- to socially and educationally backward classes, economically backward classes, and nomadic exempted castes for constructing houses across Gujarat.","['Economically Backward Class', 'Housing', 'Nomadic Exempted Caste', 'Socially And Educationally Backward Class']"
Appointment of Contract Sports Coaches,Uttarakhand,"The scheme facilitates the annual appointment of contract-based sports coaches to conduct various local training camps across Uttarakhand, thereby promoting employment opportunities and strengthening the state’s grassroots sports infrastructure.","['Coach', 'Employment', 'Sports', 'Sports Trainer']"
"Award Scheme for Candidates Selected in NDA, IMA, OTA, INA, IAF",Uttarakhand,"Under this scheme, a one-time award of ₹50,000/- is given to each candidate from Uttarakhand who has been selected for service at premier defence academies such as the NDA, IMA, OTA, INA, and IAF.","['Armed Forces Examination', 'Award', 'Financial Assistance', 'IAF', 'IMA', 'INA', 'NDA', 'OTA']"
Mukhyamantri Uchcha Shiksha Shodh Protsahan Yojana,Uttarakhand,"The scheme aims to promote high-quality, interdisciplinary research in higher education institutions across state. The broad subject areas for research include Science, Arts & Humanities, Home Science, & Commerce & Management, while proposals in interdisciplinary subject areas are also encouraged.","['Higher Education', 'Professor', 'Research', 'Research Grant', 'Research Scholar', 'Student']"
"Pension Scheme for Elderly, Destitute Artists, Litterateurs and Writers of Uttarakhand State",Uttarakhand,"The scheme aims to provide financial assistance to elderly and impoverished artists, litterateurs and writers who have dedicated their lives to the development of art, culture, and literature and have made significant and distinguished contributions.","['Artists', 'Litterateurs', 'Pension', 'Writer']"
Accessibility Services to Disabled People,Uttarakhand,"The scheme ""Accessibility Services to Disabled People"" aims to provide suitable employment opportunities to unemployed visually impaired and low vision individuals. Through this scheme, assistance is provided in securing placements in the public and private sectors.","['Disabled Person', 'Divyang', 'Employment Assistance', 'Job Facilitation', 'Low Vision', 'Visually Impaired']"
Livelihood Opportunity Promotion Scheme (Disabled),Uttarakhand,"The scheme aims to promote self-reliance among persons with disabilities through grants, term loans, and margin money assistance.","['Financial Assistance', 'Loan', 'Margin Money', 'Person With Disability', 'Self-employment', 'Shop']"
Mukhyamantri Bhed/Bakri (Sheep/Goat) Palak Uthan Yojana for Scheduled Castes,Haryana,"The scheme aims to uplift Scheduled Caste beneficiaries. Through this scheme, sheep and goat units are provided free of cost, along with veterinary assistance, to eligible unemployed Scheduled Caste families.","['Employment', 'Feeder', 'Goat', 'Scheduled Caste', 'Sheep']"
Scholarship to Poor Students,Uttarakhand,The scheme aims to provide financial assistance to economically disadvantaged students enrolled in undergraduate and postgraduate programs at Uttarakhand Sanskrit University.,"['Postgraduate', 'Sanskrit University', 'Scholarship', 'Student', 'Undergraduate']"
Financial Assistance to SC Students Appearing in the Mains Examination of UPSC,Assam,"The scheme provides financial grants to the SC students for appearing in the UPSC Mains Exam. An amount upto ₹50,000/- is provided to each beneficiary, subject to budget provision. The assistance is extended depending on the applicant satisfying the eligibility criteria and the documents submitted.","['Exam', 'Financial Assistance', 'Scheduled Caste', 'Student', 'UPSC']"
Fish Farming Diversification (Scheduled Caste / Scheduled Tribe) Scheme,Uttarakhand,The scheme aims to promote economic empowerment and livelihood diversification among Scheduled Caste and Scheduled Tribe communities through fisheries-based activities.,"['Fish Farmer', 'Fish Farming', 'Poultry Farming', 'Scheduled Caste', 'Scheduled Tribe', 'Subsidy']"
Financial Assistance to Authors for Book Publication,Uttarakhand,"The scheme aims to support the state's eminent litterateurs, writers, poets, and authors by providing financial assistance whose literary works remain unpublished due to financial constraints.","['Author', 'Book Publication', 'Financial Assistance', 'Litterateurs', 'Poet', 'Writer']"
Uniform Assistance for Notified Tribes and Denotified Tribes Castes students Studying in Class 1st to 8th,Gujarat,"The scheme ""Uniform Assistance for Notified Tribes and Denotified Tribes Castes students Studying in Class 1st to 8th"" by the Social Justice and Empowerment Department, Gujarat, provides ₹900/- for three pairs of uniforms to students from NT/DNT Castes in government and aided primary schools.","['Education', 'Notified Tribes And Denotified Tribes', 'Uniform Assistance']"
Free Training for Vehicle Drivers,Uttarakhand,"The scheme aims to improve the driving skills and employability of Scheduled Caste (SC) and Scheduled Tribe (ST) candidates by providing free, high-quality driving training, thereby reducing road accidents and promoting self-employment opportunities.","['Driving Skills', 'Free Training', 'Scheduled Caste', 'Scheduled Tribe', 'Self-employment', 'Vehicle Driver']"
Organization of Sports Competitions and Training Programs,Uttarakhand,"The scheme aims to promote sports & identify grassroots-level talent among youth through structured competitions & training. Players are provided with cash prizes and free training, & participation is encouraged at multiple levels, including Gram Panchayat, Development Block, District, and State.","['Cash Prizes', 'Free Training', 'Sports', 'Sports Competition', 'Sportsperson', 'Training Program']"
Scholarship to Poor Students,Uttarakhand,The scheme aims to provide financial assistance to economically disadvantaged students enrolled in undergraduate and postgraduate programs at Uttarakhand Sanskrit University.,"['Postgraduate', 'Sanskrit University', 'Scholarship', 'Student', 'Undergraduate']"
Financial Assistance to Authors for Book Publication,Uttarakhand,"The scheme aims to support the state's eminent litterateurs, writers, poets, and authors by providing financial assistance whose literary works remain unpublished due to financial constraints.","['Author', 'Book Publication', 'Financial Assistance', 'Litterateurs', 'Poet', 'Writer']"
District Level Sports School,Gujarat,"The scheme ""District Level Sports School"" by the Sports, Youth and Cultural Activities Dept., Government of Gujarat, aims to identify and nurture sporting talent through scientifically designed training, education, and sports facilities in residential and non-residential schools across the state.","['School Sports Program', 'Sports', 'Young Athlete Training']"
Cash Award to Women Players of the State,Gujarat,"The scheme ""Cash Award to Women Players of the State"" by the Sports, Youth and Cultural Activities Department, Government of Gujarat, aims to encourage and support talented female athletes through annual cash scholarships for those who excel at state and national level competitions.","['Cash Prize', 'Sports', 'Women Athletes']"
"""Interest Subvention on Working Capital"" under the ""Assam Tea Industries Special Incentives Scheme""",Assam,"The scheme aims to ensure long term financial sustainability of the Tea industry and incentivize Orthodox tea production over Crush, Tear, Curl tea. It provides interest subvention, production subsidies, plant & machinery subsidies, tax holidays to tea plantations and manufacturing units in Assam.","['Capital', 'Incentive', 'Industry', 'Interest', 'Subsidy']"
New Akanksha Scheme (Higher Education Loan) (GGDC),Gujarat,"This scheme provides educational loans of up to ₹15.00 lakh to students belonging to the Rabari and Bharwad castes from socially and educationally backward classes for pursuing higher professional courses such as medical, dental, engineering, pharmacy, etc.","['Bharwad Caste', 'Higher Education', 'Loan', 'Rabari Caste', 'Student']"
