name,description,tags,combined_text
Assistance for Area Expansion of Spice Crops,"The scheme provides financial assistance to farmers for the area expansion of spice crops, including seed and rhizomatic spices, to enhance spice production in Gujarat.","['Agriculture', 'Area Expansion Farming', 'Seed Spices', 'Spice Crop']",assistance for area expansion of spice crops the scheme provides financial assistance to farmers for the area expansion of spice crops including seed and rhizomatic spices to enhance spice production in gujarat agriculture area expansion farming seed spices spice crop
Housing Assistance Grant,"“Housing Assistance Grant” is a social security scheme that provides financial assistance for the construction/ repair of houses to the widows, dependents of martyred soldiers, and those soldiers who have become physically disabled in various wars, border skirmishes, and internal security.","['Housing Grant', 'Soldiers', 'Widow']",housing assistance grant housing assistance grant is a social security scheme that provides financial assistance for the construction repair of houses to the widows dependents of martyred soldiers and those soldiers who have become physically disabled in various wars border skirmishes and internal security housing grant soldiers widow
Grant for Purchase and Repair of Various Assistive Devices/Equipment for Persons with Disabilities,"Under this scheme, a grant of up to ₹3,500 is provided for the purchase of individual aids, which may be increased to a maximum of ₹7,000 in special cases. Additionally, ₹500 is provided for the repair of prosthetic limbs and other assistive equipment.","['Devices', 'Differently-abled Person', 'Divyang', 'Financial Assistance', 'Person With Disability', 'PwD']",grant for purchase and repair of various assistive devicesequipment for persons with disabilities under this scheme a grant of up to 3500 is provided for the purchase of individual aids which may be increased to a maximum of 7000 in special cases additionally 500 is provided for the repair of prosthetic limbs and other assistive equipment devices differentlyabled person divyang financial assistance person with disability pwd
Atma Nirbhar Matsya Palan Yojana,"The scheme aims to provide a 45% subsidy with credit linkage for fishery infrastructure to ST individuals, SHGs, and FPOs engaged in aquaculture.","['Farmers', 'FPO', 'Loan', 'Scheduled Tribe', 'Self Help Groups', 'Subsidy']",atma nirbhar matsya palan yojana the scheme aims to provide a 45 subsidy with credit linkage for fishery infrastructure to st individuals shgs and fpos engaged in aquaculture farmers fpo loan scheduled tribe self help groups subsidy
Pandit Dindayal Upadhyay Awas Yojana-Developing Caste Welfare,"The ""Pandit Dindayal Upadhyay Awas Yojana-Developing Caste Welfare"" provides financial assistance of up to ₹1,20,000/- to socially and educationally backward classes, economically backward classes, and nomadic exempted castes for constructing houses across Gujarat.","['Economically Backward Class', 'Housing', 'Nomadic Exempted Caste', 'Socially And Educationally Backward Class']",pandit dindayal upadhyay awas yojanadeveloping caste welfare the pandit dindayal upadhyay awas yojanadeveloping caste welfare provides financial assistance of up to 120000 to socially and educationally backward classes economically backward classes and nomadic exempted castes for constructing houses across gujarat economically backward class housing nomadic exempted caste socially and educationally backward class
Old Age Pension for the Construction Workers (On Completion Of 65 Years) (UKBOCWWB),"“Old Age Pension for the Construction Workers (On Completion Of 65 Years)’’ is a social security scheme that provides a monthly pension of ₹1,500/- per month to the beneficiaries to the eligible workers of the board who have completed 65 years of age.","['Construction Workers', 'Labour', 'Old Age Pension', 'Senior Citizen']",old age pension for the construction workers on completion of 65 years ukbocwwb old age pension for the construction workers on completion of 65 years is a social security scheme that provides a monthly pension of 1500 per month to the beneficiaries to the eligible workers of the board who have completed 65 years of age construction workers labour old age pension senior citizen
Pension Scheme for Artisans,"Under this scheme, an additional monthly incentive of ₹400/- is provided to senior artisans aged 60 or above who are already receiving old-age pension and belong to below-poverty-line (BPL) families.","['Artisans', 'BPL', 'Old-age', 'Pension', 'Senior Citizen']",pension scheme for artisans under this scheme an additional monthly incentive of 400 is provided to senior artisans aged 60 or above who are already receiving oldage pension and belong to belowpovertyline bpl families artisans bpl oldage pension senior citizen
Parityakta Pension Scheme,"The scheme aims to provide a monthly pension to Abandoned married women, mentally ill husband/wife & destitute unmarried women in the state. Under this scheme, beneficiaries receive a pension of ₹1,200/- per month, & in case of mental disability (spouse), the amount is ₹1,400/- per month.","['Abandoned', 'BPL', 'Deserted', 'Destitute', 'Pension', 'Woman']",parityakta pension scheme the scheme aims to provide a monthly pension to abandoned married women mentally ill husbandwife destitute unmarried women in the state under this scheme beneficiaries receive a pension of 1200 per month in case of mental disability spouse the amount is 1400 per month abandoned bpl deserted destitute pension woman
Eja-Boi Shagun Yojana,"Under this scheme, a cash gift of ₹2,000 /- would be paid to those women who ensured 48 hours stay for delivery of their child in the government hospitals or health care centres.","['Child Care', 'Financial Assistance', 'Post-delivery', 'Pregnancy', 'Pregnant Woman']",ejaboi shagun yojana under this scheme a cash gift of 2000 would be paid to those women who ensured 48 hours stay for delivery of their child in the government hospitals or health care centres child care financial assistance postdelivery pregnancy pregnant woman
Uttarakhand Shaheed Kosh Anudan Yojana,"The scheme provides a one-time grant of ₹10,00,000 to widows/dependents of martyred soldiers or paramilitary personnel.","['Dependents', 'Grant', 'Martyrs', 'Sainik', 'Widow']",uttarakhand shaheed kosh anudan yojana the scheme provides a onetime grant of 1000000 to widowsdependents of martyred soldiers or paramilitary personnel dependents grant martyrs sainik widow
Minority Self-Employment Scheme,"“Minority Self-Employment Scheme” is a social security scheme by the Minority Welfare Department, Government of Uttarakhand, that provides financial assistance through facilitating loans to the minority community to build their own employment.","['Loan', 'Minority Welfare', 'Self Employment']",minority selfemployment scheme minority selfemployment scheme is a social security scheme by the minority welfare department government of uttarakhand that provides financial assistance through facilitating loans to the minority community to build their own employment loan minority welfare self employment
Loan for Training of Commercial Pilot (GUEEDC),"The scheme ""Loan for Training of Commercial Pilot (GUEEDC)"" by the Social Justice and Empowerment Department, Gujarat, provides financial loan assistance of up to ₹25,00,000/- at 4% simple interest per annum is provided to Unreserved category candidates for pursuing commercial pilot training.","['Commercial Pilot Training', 'Education Loan', 'Loan']",loan for training of commercial pilot gueedc the scheme loan for training of commercial pilot gueedc by the social justice and empowerment department gujarat provides financial loan assistance of up to 2500000 at 4 simple interest per annum is provided to unreserved category candidates for pursuing commercial pilot training commercial pilot training education loan loan
Samaveshit Shiksha Yojana,"""Samaveshit Shiksha Yojana""  aims to provide inclusive education support and special facilities to children with special needs aged 6 to 18 years studying in government schools from Classes 1 to 12.","['Assistive Devices', 'Divyang Student', 'Education', 'Escort Services', 'Learning']",samaveshit shiksha yojana samaveshit shiksha yojana aims to provide inclusive education support and special facilities to children with special needs aged 6 to 18 years studying in government schools from classes 1 to 12 assistive devices divyang student education escort services learning
Pashupalan Dhiran Yojana,"""Pashupalan Dhiran Yojana"" by the Social Justice and Empowerment Department provides loan assistance for animal husbandry to Rabari and Bharwad castes from the socially and educationally backward classes.","['Animal Husbandry', 'Farmer', 'Loan', 'SC', 'Scheduled Caste']",pashupalan dhiran yojana pashupalan dhiran yojana by the social justice and empowerment department provides loan assistance for animal husbandry to rabari and bharwad castes from the socially and educationally backward classes animal husbandry farmer loan sc scheduled caste
Financial Assistance Scheme for Dependents of Deceased Journalists and Litterateurs - Rajasthan,"The scheme aims to provide financial support to the dependents of deceased journalists and litterateurs in situations such as medical emergencies, unemployment, or when there is no other source of income.","['Deceased Journalists', 'Dependent', 'Financial Assistance', 'Journalist', 'Litterateur', 'Medical Assistance']",financial assistance scheme for dependents of deceased journalists and litterateurs rajasthan the scheme aims to provide financial support to the dependents of deceased journalists and litterateurs in situations such as medical emergencies unemployment or when there is no other source of income deceased journalists dependent financial assistance journalist litterateur medical assistance
Jan Samuh Bima Yojana,"The scheme aims to provide financial assistance to Sahariya families in the event of the death of the heads of the families. Under this scheme, a one-time financial assistance of ₹25,000/- is provided by the insurance company to the deceased's family to help reduce their economic burden.","['Death', 'Financial Assistance', 'Insurance', 'Sahariya Community', 'Swachh Project']",jan samuh bima yojana the scheme aims to provide financial assistance to sahariya families in the event of the death of the heads of the families under this scheme a onetime financial assistance of 25000 is provided by the insurance company to the deceaseds family to help reduce their economic burden death financial assistance insurance sahariya community swachh project
Indira Gandhi Matritva Poshan Yojana,"Under the scheme, women who conceive their second child and fulfill the prescribed conditions will receive cash assistance of ₹6,000/-, paid in five installments.","['Child Care', 'Lactating Mother', 'Maternity', 'Pregnancy', 'Pregnant Woman']",indira gandhi matritva poshan yojana under the scheme women who conceive their second child and fulfill the prescribed conditions will receive cash assistance of 6000 paid in five installments child care lactating mother maternity pregnancy pregnant woman
Cash Amount for Encouraging Scheduled Tribe Sportsperson Students,"Under this scheme, cash awards, certificates, and mementos are provided as a form of encouragement to Scheduled Tribe  sportsperson students who secure the top three positions in national and international sports events.","['Incentive', 'Scheduled Tribe', 'Sports Training', 'Sportspersons', 'Student', 'Tribal']",cash amount for encouraging scheduled tribe sportsperson students under this scheme cash awards certificates and mementos are provided as a form of encouragement to scheduled tribe sportsperson students who secure the top three positions in national and international sports events incentive scheduled tribe sports training sportspersons student tribal
Operation of Ashram Hostels,"Under this scheme, free accommodation, nutritious meals, educational materials, uniforms, personal hygiene items, and other facilities are provided to Scheduled Tribe (ST) students residing in ashram hostels operated by the Tribal Area Development Department.","['Ashram Hostels', 'Free Accommodation', 'Hostel', 'Scheduled Tribe', 'Student', 'Tribal']",operation of ashram hostels under this scheme free accommodation nutritious meals educational materials uniforms personal hygiene items and other facilities are provided to scheduled tribe st students residing in ashram hostels operated by the tribal area development department ashram hostels free accommodation hostel scheduled tribe student tribal
Samuhik Kanya Vivah Sahayata Yojana (UKBOCWWB),"The scheme aims to support the marriage of daughters of construction workers by providing financial assistance of ₹61,000/- for their daughter’s marriage in a group marriage event.","['Construction Worker', 'Daughters', 'Financial Assistance', 'Group Marriage', 'Labour']",samuhik kanya vivah sahayata yojana ukbocwwb the scheme aims to support the marriage of daughters of construction workers by providing financial assistance of 61000 for their daughters marriage in a group marriage event construction worker daughters financial assistance group marriage labour
Gargi Sanskrit Girl Student Scholarship Scheme,The scheme provides financial assistance to girl students from Class 6 to 12 studying in Sanskrit institutions in Uttarakhand to promote Sanskrit education among female students.,"['Girl Student', 'Sanskrit Education', 'Scholarship']",gargi sanskrit girl student scholarship scheme the scheme provides financial assistance to girl students from class 6 to 12 studying in sanskrit institutions in uttarakhand to promote sanskrit education among female students girl student sanskrit education scholarship
National Centre for Communication Security (NCCS) Research Associates Scheme,"NCCS engages young scholars as Research Associates  to contribute in development of Telecom Security eco system with in India by providing an opportunity to them to work in areas like Telecom Security Standard development, Lab recognition and Security Certification of telecom products.","['Bengaluru', 'Cybersecurity', 'DoT', 'ITSAR', 'Research', 'Telecommunications']",national centre for communication security nccs research associates scheme nccs engages young scholars as research associates to contribute in development of telecom security eco system with in india by providing an opportunity to them to work in areas like telecom security standard development lab recognition and security certification of telecom products bengaluru cybersecurity dot itsar research telecommunications
Model School under School Education,"The scheme aims to provide inclusive quality education to children with visual disabilities from pre-school to senior secondary level.
Through this scheme, students receive free residential facilities, educational materials, assistive devices, and digital tools for a modern learning experience.","['Laptop', 'Model School', 'School Education', 'Smartphone', 'Visually Impaired Children']",model school under school education the scheme aims to provide inclusive quality education to children with visual disabilities from preschool to senior secondary level through this scheme students receive free residential facilities educational materials assistive devices and digital tools for a modern learning experience laptop model school school education smartphone visually impaired children
Rajya/Mukhyamantri Swarn/Rajat Padak Protsahan Puraskar,"This scheme awards cash incentives to NCC cadets who demonstrate outstanding performance in the current year's RDC, TSC, VSC, or NSC camps, recognizing six gold medal recipients with ₹3,000/- and six silver medal recipients with ₹2000/-.","['Cash Incentive', 'Education', 'NCC']",rajyamukhyamantri swarnrajat padak protsahan puraskar this scheme awards cash incentives to ncc cadets who demonstrate outstanding performance in the current years rdc tsc vsc or nsc camps recognizing six gold medal recipients with 3000 and six silver medal recipients with 2000 cash incentive education ncc
Financial Assistance to Sports Associations/ Clubs/ Committees of Uttarakhand,"This scheme provides financial grants and assistance to recognized sports associations, clubs, and committees for organizing sports competitions at national, state, and district levels, and for purchasing sports equipment for selected players, benefiting around 20 sports bodies/players annually.","['Athlete Support', 'Sports Association', 'Sports Club', 'Sports Grant']",financial assistance to sports associations clubs committees of uttarakhand this scheme provides financial grants and assistance to recognized sports associations clubs and committees for organizing sports competitions at national state and district levels and for purchasing sports equipment for selected players benefiting around 20 sports bodiesplayers annually athlete support sports association sports club sports grant
Chanakya Scheme for Swayam Upadhi,"The ""Chanakya Scheme for Swayam Upadhi” to encourage Brahmin entrepreneurs in Andhra Pradesh. The grant will be given against relevant approved asset acquisition for setting up new business entities or expanding existing/diversifying business entities in different areas.","['Brahmin Community', 'Financial Assistance', 'Micro Enterprises', 'Opportunity']",chanakya scheme for swayam upadhi the chanakya scheme for swayam upadhi to encourage brahmin entrepreneurs in andhra pradesh the grant will be given against relevant approved asset acquisition for setting up new business entities or expanding existingdiversifying business entities in different areas brahmin community financial assistance micro enterprises opportunity
Braille Equipment Provision,"The ""Braille Equipment Provision"" scheme aims to empower persons with visual disabilities to live independently by supporting their writing, computing, mobility, and entertainment needs. Through this scheme, Braille equipment is manufactured and made available to individuals and institutions.","['Assistive Technology', 'Braille Devices', 'Disabled Person', 'Divyang', 'Visual Disability']",braille equipment provision the braille equipment provision scheme aims to empower persons with visual disabilities to live independently by supporting their writing computing mobility and entertainment needs through this scheme braille equipment is manufactured and made available to individuals and institutions assistive technology braille devices disabled person divyang visual disability
Livelihood Opportunity Promotion Scheme (Scheduled Tribes),"The scheme aims to promote self-employment among Scheduled Tribe individuals through financial support, including loans, margin money, and grants.","['Financial Assistance', 'Loan', 'Margin Money', 'Scheduled Tribe', 'Self-employment']",livelihood opportunity promotion scheme scheduled tribes the scheme aims to promote selfemployment among scheduled tribe individuals through financial support including loans margin money and grants financial assistance loan margin money scheduled tribe selfemployment
Livelihood Opportunity Promotion Scheme (Scheduled Caste),"The scheme aims to promote self-employment among Scheduled Castes. It provides financial aid, including loans, margin money, and grants, for livelihood projects.","['Financial Assistance', 'Loan', 'Scheduled Caste', 'Self-Employment']",livelihood opportunity promotion scheme scheduled caste the scheme aims to promote selfemployment among scheduled castes it provides financial aid including loans margin money and grants for livelihood projects financial assistance loan scheduled caste selfemployment
National Centre For Communication Security (NCCS) Internship Scheme,The National Centre for Communication Security (NCCS) Internship Scheme allows young talent to be associated with the NCCS work for mutual benefit. It will enable NCCS to interact with young scholars and to get fresh ideas and study/ research support from the field of academics.,"['Bengaluru', 'Bengaluru', 'Cybersecurity', 'DoT', 'Education', 'Graduation', 'Internship', 'Student', 'Telecommunications', 'Training']",national centre for communication security nccs internship scheme the national centre for communication security nccs internship scheme allows young talent to be associated with the nccs work for mutual benefit it will enable nccs to interact with young scholars and to get fresh ideas and study research support from the field of academics bengaluru bengaluru cybersecurity dot education graduation internship student telecommunications training
License for Repairers of Weights-Measures and Weighing Instruments,"Under this scheme, a government-approved license is issued to repairers of weights and measuring instruments, enabling them to repair such instruments used by traders as a means of self-employment and to ensure their livelihood.","['Instruments', 'License', 'Metrology', 'Repairers Of Measuring Instruments', 'Repairers Of Weights', 'Self-employment']",license for repairers of weightsmeasures and weighing instruments under this scheme a governmentapproved license is issued to repairers of weights and measuring instruments enabling them to repair such instruments used by traders as a means of selfemployment and to ensure their livelihood instruments license metrology repairers of measuring instruments repairers of weights selfemployment
Establishment of Broiler Farms,"The primary objective of the scheme is to meet the growing demand for poultry production, generate employment opportunities, and ensure access to protein-rich food for the growing population.","['Broiler Birds', 'Broiler Farms', 'Self Help Groups', 'Subsidy', 'Yard Construction']",establishment of broiler farms the primary objective of the scheme is to meet the growing demand for poultry production generate employment opportunities and ensure access to proteinrich food for the growing population broiler birds broiler farms self help groups subsidy yard construction
Rural Technology Complex,"The scheme ""Rural Technology Complex"" by the Programme Implementation Department, Government of Uttarakhand, aims to enhance livelihood opportunities in the Himalayan region through the use of local, need-based and environment-friendly technologies.","['Environment-Friendly Technology', 'Rural Technology', 'Self-Help Groups', 'Skill Development', 'Training Program']",rural technology complex the scheme rural technology complex by the programme implementation department government of uttarakhand aims to enhance livelihood opportunities in the himalayan region through the use of local needbased and environmentfriendly technologies environmentfriendly technology rural technology selfhelp groups skill development training program
Pradhan Mantri Mudra Yojana,"Pradhan Mantri Mudra Yojana (PMMY) is  a flagship scheme of Government of India. It facilitates micro credit/Loan upto Rs. 20 lakhs to income generating micro enterprises engaged in the non farm sector in manufacturing, processing, trading or service sector including activities allied to agriculture","['Business', 'Loan', 'MUDRA']",pradhan mantri mudra yojana pradhan mantri mudra yojana pmmy is a flagship scheme of government of india it facilitates micro creditloan upto rs 20 lakhs to income generating micro enterprises engaged in the non farm sector in manufacturing processing trading or service sector including activities allied to agriculture business loan mudra
Drone Policy,"The scheme ""Drone Policy"" by the Information Technology Development Agency, Government of Uttarakhand aims to promote drone-based service delivery, innovation in drone technology, and development of a supportive drone ecosystem.","['Drone Training', 'Innovation', 'Skill Development']",drone policy the scheme drone policy by the information technology development agency government of uttarakhand aims to promote dronebased service delivery innovation in drone technology and development of a supportive drone ecosystem drone training innovation skill development
"Freeship less than ₹1,00,000 (UG students only)","The scheme ""Freeship Less than ₹1,00,000 only for UG students"" by the Dean Student Welfare, GBPUAT, Pantnagar aims to support meritorious undergraduate students from low-income families. This Freeship scheme provides full tuition fee exemption to eligible students.","['Education', 'Research', 'Scholarship', 'Students']",freeship less than 100000 ug students only the scheme freeship less than 100000 only for ug students by the dean student welfare gbpuat pantnagar aims to support meritorious undergraduate students from lowincome families this freeship scheme provides full tuition fee exemption to eligible students education research scholarship students
CSIR (PhD) Fellowship,"""CSIR Fellowship (PhD)"" scheme by the Council of Scientific and Industrial Research, Government of India aims to support science research through financial assistance. Scholars receive a ₹31,000 monthly stipend for 2 years, directly transferred to their bank accounts.","['Direct Benefit Transfer', 'Fellowship', 'Financial Assistance', 'Researcher', 'Scholarship']",csir phd fellowship csir fellowship phd scheme by the council of scientific and industrial research government of india aims to support science research through financial assistance scholars receive a 31000 monthly stipend for 2 years directly transferred to their bank accounts direct benefit transfer fellowship financial assistance researcher scholarship
Training and Tour Unit,"""Training and Tour Unit"" scheme by the Department of Agriculture Extension, Government of Uttarakhand aims to provide agricultural training to farmers, rural youth, and extension workers through university-led programs and field tours.","['Agriculture', 'Animal Husbandry', 'Farmers', 'Training & Tour']",training and tour unit training and tour unit scheme by the department of agriculture extension government of uttarakhand aims to provide agricultural training to farmers rural youth and extension workers through universityled programs and field tours agriculture animal husbandry farmers training tour
Grant to Films - Films Shot in Uttarakhand with a Budget of Minimum ₹50 Crores or More,"The scheme aims to promote film shooting in the state, generate employment, support local and regional films and artists, and generate revenue for the state. The scheme offers up to ₹3 crore as financial assistance to film producers who shoot major parts of their films in Uttarakhand.","['Budget', 'Film Grant', 'Filmmaker', 'Films Shot', 'Producer']",grant to films films shot in uttarakhand with a budget of minimum 50 crores or more the scheme aims to promote film shooting in the state generate employment support local and regional films and artists and generate revenue for the state the scheme offers up to 3 crore as financial assistance to film producers who shoot major parts of their films in uttarakhand budget film grant filmmaker films shot producer
Grant to Films - Foreign Language Films,"Under this scheme, financial grants of up to 50% of in-state production expenditure or ₹3 crore are provided to foreign language films shot in Uttarakhand, provided they have incurred a minimum in-state expenditure exceeding ₹3 crore & accurately depict shooting locations within the state.","['Film Grant', 'Film Shooting', 'Filmmaker', 'Foreign Language', 'Producer']",grant to films foreign language films under this scheme financial grants of up to 50 of instate production expenditure or 3 crore are provided to foreign language films shot in uttarakhand provided they have incurred a minimum instate expenditure exceeding 3 crore accurately depict shooting locations within the state film grant film shooting filmmaker foreign language producer
Grant to Films - Regional Dialects of Uttarakhand,"Under this scheme, grants and subsidies are provided to filmmakers and producers to cover expenses incurred during film production. Additional incentives are available for children’s films, and OTT-based projects are also eligible under specific conditions.","['Film', 'Film Grant', 'Film Shooting', 'Filmmaker', 'Producer', 'Regional Dialects']",grant to films regional dialects of uttarakhand under this scheme grants and subsidies are provided to filmmakers and producers to cover expenses incurred during film production additional incentives are available for childrens films and ottbased projects are also eligible under specific conditions film film grant film shooting filmmaker producer regional dialects
Sindhu Darshan Scheme,"The scheme aims to provide financial assistance of ₹15,000/- to pilgrims from Gujarat undertaking the Sindhu Darshan Yatra in Leh-Ladakh, fostering national unity. Intended beneficiaries include native Gujaratis who complete the yatra and apply within 60 days.","['Culture', 'Heritage', 'Pilgrim', 'Pilgrimage', 'Tourism', 'Travel']",sindhu darshan scheme the scheme aims to provide financial assistance of 15000 to pilgrims from gujarat undertaking the sindhu darshan yatra in lehladakh fostering national unity intended beneficiaries include native gujaratis who complete the yatra and apply within 60 days culture heritage pilgrim pilgrimage tourism travel
Uttarakhand State Andolankari Pension,"""Uttarakhand State Andolankari Pension"" is a social welfare scheme implemented by the Department of Home, Government of Uttarakhand, that provides a monthly pension to the injured/jailed agitators during the Uttarakhand State Movement.","['Agitators', 'Social Welfare', 'State Movement']",uttarakhand state andolankari pension uttarakhand state andolankari pension is a social welfare scheme implemented by the department of home government of uttarakhand that provides a monthly pension to the injuredjailed agitators during the uttarakhand state movement agitators social welfare state movement
Mukhyamantri Alp-Shankhyak Protsahan Yojana,"The ""Mukhyamantri Alp-Shankhyak Protsahan Yojana"" aims to provide financial incentives to minority community candidates from Uttarakhand who clear preliminary exams and/or interviews for various competitive examinations like UPSC, Uttarakhand PSC, and national-level institutions (IITs & IIMs).","['Competitive Examination', 'Entrance Examination', 'Higher Education', 'Minority Welfare', 'National Level Institution']",mukhyamantri alpshankhyak protsahan yojana the mukhyamantri alpshankhyak protsahan yojana aims to provide financial incentives to minority community candidates from uttarakhand who clear preliminary exams andor interviews for various competitive examinations like upsc uttarakhand psc and nationallevel institutions iits iims competitive examination entrance examination higher education minority welfare national level institution
Free Training for Vehicle Drivers,"Under this scheme, free driving training is provided to scheduled caste and scheduled tribe candidates to improve driving skills and promote self-employment.","['Driving Skills', 'Free Training', 'Scheduled Caste', 'Scheduled Tribe', 'Self-employment', 'Vehicle Driver']",free training for vehicle drivers under this scheme free driving training is provided to scheduled caste and scheduled tribe candidates to improve driving skills and promote selfemployment driving skills free training scheduled caste scheduled tribe selfemployment vehicle driver
Self-Employment Scheme for Scheduled Castes and Tribes,The scheme aims to support scheduled castes and scheduled tribes families below the poverty line through concessional loans and subsidies for self-employment in various sectors.,"['BPL', 'Loan', 'Scheduled Caste', 'Scheduled Tribe', 'Self-employment', 'Subsidy']",selfemployment scheme for scheduled castes and tribes the scheme aims to support scheduled castes and scheduled tribes families below the poverty line through concessional loans and subsidies for selfemployment in various sectors bpl loan scheduled caste scheduled tribe selfemployment subsidy
Operation of River Rafting / Kayaking Activities,"The scheme aims to promote adventure tourism by regulating and authorizing rafting and kayaking operations in the state. Under this scheme, rafting companies are granted permission to operate, and licenses are issued to qualified river guides.","['Adventure', 'Kayaking Activities', 'License', 'River Rafting', 'Tourism Business']",operation of river rafting kayaking activities the scheme aims to promote adventure tourism by regulating and authorizing rafting and kayaking operations in the state under this scheme rafting companies are granted permission to operate and licenses are issued to qualified river guides adventure kayaking activities license river rafting tourism business
Special Incentive to OBC Meritorious Students (Boys & Girls),"This scheme offers a financial incentive of up to ₹10,000/- to meritorious Other Backward Classes (OBC) students who have achieved 80% or higher marks in the HSSLC (SEBA/CBSE/ICSE) examination. The objective is to motivate and encourage OBC students to pursue higher education.","['Incentive', 'Merit', 'OBC', 'Social Welfare', 'Student']",special incentive to obc meritorious students boys girls this scheme offers a financial incentive of up to 10000 to meritorious other backward classes obc students who have achieved 80 or higher marks in the hsslc sebacbseicse examination the objective is to motivate and encourage obc students to pursue higher education incentive merit obc social welfare student
Uttarakhand Tourism Entrepreneur Promotion Scheme,The scheme aims to aims to encourage and financially strengthen permanent residents/entrepreneurs of the state who invest ₹1 crore to ₹5 crore in the tourism sector.,"['Employment', 'Entrepreneur', 'Financial Incentive', 'Tourism', 'Tourism Development']",uttarakhand tourism entrepreneur promotion scheme the scheme aims to aims to encourage and financially strengthen permanent residentsentrepreneurs of the state who invest 1 crore to 5 crore in the tourism sector employment entrepreneur financial incentive tourism tourism development
Ganga Kalyana Scheme,"Ganga Kalyana Scheme is implemented by Karnataka Minorities Development Corporation Limited.
This scheme is a fully subsidized scheme, bore wells, pumps and electrification are provided to minorities, and small and marginal farmers living in rural areas.",[],ganga kalyana scheme ganga kalyana scheme is implemented by karnataka minorities development corporation limited this scheme is a fully subsidized scheme bore wells pumps and electrification are provided to minorities and small and marginal farmers living in rural areas 
Integrated Social Security Scheme - Women In Distress,"ISSS (Integrated Social Security Scheme) is a State Sponsored Scheme by the Social Welfare Department of the Govt. of Jammu and Kashmir where financial assistance is provided to Old Age Persons, Widows, Divorcees, Women in Distress, Transgenders, and Physically Handicapped Persons.","['Pension', 'Social Welfare', 'Women']",integrated social security scheme women in distress isss integrated social security scheme is a state sponsored scheme by the social welfare department of the govt of jammu and kashmir where financial assistance is provided to old age persons widows divorcees women in distress transgenders and physically handicapped persons pension social welfare women
Dr. Ambedkar Medical Aid Scheme (Revised – 2009),"The scheme “Dr. Ambedkar Medical Aid Scheme” has been revised and implemented by the Directorate of Welfare of Scheduled Caste & Backward Classes, Government of Haryana in 2009. Under this scheme, the state government provides medical treatment facilities to patients of the SC/ST communities.","['Hospital', 'Medical Treatment', 'Scheduled Caste', 'Scheduled Tribe', 'Surgery']",dr ambedkar medical aid scheme revised 2009 the scheme dr ambedkar medical aid scheme has been revised and implemented by the directorate of welfare of scheduled caste backward classes government of haryana in 2009 under this scheme the state government provides medical treatment facilities to patients of the scst communities hospital medical treatment scheduled caste scheduled tribe surgery
Deen Dayal SPARSH Yojana (Scholarship For Promotion Of Aptitude & Research In Stamps As A Hobby),"""Deen Dayal SPARSH Yojana"" awards annual scholarships to students who have good academic records and are also pursuing 'Philately' as a hobby. The objective is to “Promote Philately among children at a young age in a sustainable manner that can reinforce and supplement the academic curriculum.","['Post', 'Pre-Matric', 'Scholarship', 'Student']",deen dayal sparsh yojana scholarship for promotion of aptitude research in stamps as a hobby deen dayal sparsh yojana awards annual scholarships to students who have good academic records and are also pursuing philately as a hobby the objective is to promote philately among children at a young age in a sustainable manner that can reinforce and supplement the academic curriculum post prematric scholarship student
Dr. B. R. Ambedkar State Award To SC/ST/OBC/Minorities Students,This scholarship aims to award the eligible meritorious students.,"['Dr. B.R. Ambedkar', 'Financial Assistance', 'Minorities', 'Other Backward Classes (OBC)', 'Scheduled Castes (SC)', 'Scheduled Tribes (ST)', 'State Award']",dr b r ambedkar state award to scstobcminorities students this scholarship aims to award the eligible meritorious students dr br ambedkar financial assistance minorities other backward classes obc scheduled castes sc scheduled tribes st state award
Ashraya Adhar Scheme,"""Ashraya Adhar Scheme"" is introduced to provide financial assistance in the form of loans to the members of Scheduled Tribes for the purpose of repair, renovation/reconstruction of houses. The Goa State Scheduled Tribes Finance and Development Corporation has introduced this scheme.","['House', 'Loan', 'Scheduled Tribe', 'Social Welfare', 'ST']",ashraya adhar scheme ashraya adhar scheme is introduced to provide financial assistance in the form of loans to the members of scheduled tribes for the purpose of repair renovationreconstruction of houses the goa state scheduled tribes finance and development corporation has introduced this scheme house loan scheduled tribe social welfare st
Samagr Samajik Suraksha Pension Yojana,"Madhya Pradesh State Government started the ""Samagr Samajik Suraksha Pension Yojana"" for different age groups.","['Empowerment', 'Financial Assistance', 'Social Welfare']",samagr samajik suraksha pension yojana madhya pradesh state government started the samagr samajik suraksha pension yojana for different age groups empowerment financial assistance social welfare
Reimbursement of Expenses for Startups Operating from Leased/Privately Owned Premises Scheme,"“Reimbursement of Expenses for Startups Operating from Leased/Privately Owned Premises Scheme” is a scheme for the Startups of Goa. The cost towards internet connectivity, software license fees and cloud services fees, will be reimbursed.","['Cloud Service', 'Internet', 'License', 'Reimbursement', 'Software']",reimbursement of expenses for startups operating from leasedprivately owned premises scheme reimbursement of expenses for startups operating from leasedprivately owned premises scheme is a scheme for the startups of goa the cost towards internet connectivity software license fees and cloud services fees will be reimbursed cloud service internet license reimbursement software
